Location,Standardized_Country,2nd,3rd
hungary,Hungary,Hungary,Hungary
liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
monaco,Monaco,Monaco,Monaco
northern europe,,northern europe,Northern Europe
poland,Poland,Poland,Poland
slovakia,Slovakia,Slovakia,Slovakia
slovenia,Slovenia,Slovenia,Slovenia
switzerland,Switzerland,Switzerland,Switzerland
southern europe,,southern europe,Southern Europe
western europe,,western europe,Western Europe
midwest,,midwest,Midwest
southeast,,southeast,Southeast
west coast,,west coast,West Coast
eastern europe,,eastern europe,Eastern Europe
south,,south,South
new zealand,New Zealand,New Zealand,New Zealand
indiana,,indiana,Indiana
california,,california,California
florida,Uruguay,Uruguay,Uruguay
saudi arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia
england,,england,England
mountain,,mountain,Mountain
southern california,,southern california,Southern California
texas,,texas,Texas
north carolina,,north carolina,North Carolina
finland,Finland,Finland,Finland
iceland,Iceland,Iceland,Iceland
italy,Italy,Italy,Italy
macau,Macao,Macao,Macao
mongolia,Mongolia,Mongolia,Mongolia
michigan,,michigan,Michigan
connecticut,,connecticut,Connecticut
argentina,Argentina,Argentina,Argentina
bolivia,,bolivia,Bolivia
chile,Chile,Chile,Chile
colombia,Colombia,Colombia,Colombia
ecuador,Ecuador,Ecuador,Ecuador
guatemala,Guatemala,Guatemala,Guatemala
honduras,Honduras,Honduras,Honduras
nicaragua,Nicaragua,Nicaragua,Nicaragua
panama,Panama,Panama,Panama
paraguay,Paraguay,Paraguay,Paraguay
peru,Peru,Peru,Peru
uruguay,Uruguay,Uruguay,Uruguay
venezuela,Cuba,Cuba,Cuba
northwest,,northwest,Northwest
comoros,Comoros,Comoros,Comoros
djibouti,Djibouti,Djibouti,Djibouti
mauritius,Mauritius,Mauritius,Mauritius
northern africa,,northern africa,Northern Africa
somalia,Somalia,Somalia,Somalia
kentucky,,kentucky,Kentucky
belize,Belize,Belize,Belize
dominican republic,Dominican Republic,Dominican Republic,Dominican Republic
guyana,Guyana,Guyana,Guyana
haiti,Haiti,Haiti,Haiti
suriname,Suriname,Suriname,Suriname
massachusetts,,massachusetts,Massachusetts
scotland,,scotland,Scotland
caucasus,,caucasus,Caucasus
south africa,South Africa,South Africa,South Africa
ethiopia,Ethiopia,Ethiopia,Ethiopia
dc metro,,dc metro,Dc Metro
delaware,United States,United States,United States
district of columbia,,district of columbia,District Of Columbia
great lakes,,great lakes,Great Lakes
maryland,,maryland,Maryland
new england,,new england,New England
new jersey,,new jersey,New Jersey
pennsylvania,,pennsylvania,Pennsylvania
southwest,,southwest,Southwest
us territories,,us territories,Us Territories
virginia,South Africa,South Africa,South Africa
west virginia,,west virginia,West Virginia
british columbia,,british columbia,British Columbia
quebec,Canada,Canada,Canada
turkey,,turkey,Turkey
central asia,,central asia,Central Asia
eastern africa,,eastern africa,Eastern Africa
western africa,,western africa,Western Africa
north korea,,north korea,North Korea
greenland,Greenland,Greenland,Greenland
egypt,Egypt,Egypt,Egypt
romania,Romania,Romania,Romania
cook islands,Cook Islands,Cook Islands,Cook Islands
fiji,Fiji,Fiji,Fiji
french polynesia,French Polynesia,French Polynesia,French Polynesia
kiribati,Kiribati,Kiribati,Kiribati
marshall islands,Marshall Islands,Marshall Islands,Marshall Islands
melanesia,,melanesia,Melanesia
micronesia,,micronesia,Micronesia
nauru,Nauru,Nauru,Nauru
new caledonia,New Caledonia,New Caledonia,New Caledonia
niue,Niue,Niue,Niue
northern mariana islands,Northern Mariana Islands,Northern Mariana Islands,Northern Mariana Islands
palau,Palau,Palau,Palau
papua new guinea,Papua New Guinea,Papua New Guinea,Papua New Guinea
pitcairn islands,,pitcairn islands,Pitcairn Islands
samoa,Samoa,Samoa,Samoa
solomon islands,Solomon Islands,Solomon Islands,Solomon Islands
tokelau,Tokelau,Tokelau,Tokelau
tonga,Tonga,Tonga,Tonga
tuvalu,Tuvalu,Tuvalu,Tuvalu
vanuatu,Vanuatu,Vanuatu,Vanuatu
wallis and futuna,Wallis and Futuna,Wallis and Futuna,Wallis And Futuna
botswana,Botswana,Botswana,Botswana
malawi,Malawi,Malawi,Malawi
mozambique,Mozambique,Mozambique,Mozambique
namibia,Namibia,Namibia,Namibia
rwanda,Rwanda,Rwanda,Rwanda
tanzania,,tanzania,Tanzania
uganda,Uganda,Uganda,Uganda
zambia,Zambia,Zambia,Zambia
zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe
oklahoma,,oklahoma,Oklahoma
bangladesh,Bangladesh,Bangladesh,Bangladesh
iowa,,iowa,Iowa
prince edward island,,prince edward island,Prince Edward Island
illinois,,illinois,Illinois
jordan,Jordan,Jordan,Jordan
alaska,,alaska,Alaska
arizona,,arizona,Arizona
colorado,Brazil,Brazil,Brazil
hawaii,,hawaii,Hawaii
idaho,,idaho,Idaho
montana,Bulgaria,Bulgaria,Bulgaria
nevada,,nevada,Nevada
new mexico,,new mexico,New Mexico
oregon,United States,United States,United States
utah,,utah,Utah
washington,United States,United States,United States
wyoming,United States,United States,United States
georgia,Georgia,Georgia,Georgia
south carolina,,south carolina,South Carolina
tennessee,,tennessee,Tennessee
greece,Greece,Greece,Greece
wine brands intended to make acquisitions and roll up revenue.,,,N/A
sint maarten,,sint maarten,Sint Maarten
founded in 2,,,N/A
ar audit &amp; research is a family office investment firm based in geneva,,geneva,Geneva
switzerland. the firm seeks to invest in different asset classes including hedge funds,,switzerland,Switzerland
private equity and venture funds,,,N/A
direct investments,,,N/A
real estate,,,N/A
collectibles,,,N/A
and liquid assets such as bonds,,,N/A
equities,,,N/A
and cash across the United States,,United States ,United States
asia europe,,asia europe,Asia Europe
and africa. the firm prefers to invest in the fin-tech,,africa,Africa
health-tech,,,N/A
consumer,,,N/A
software,,,N/A
logistics,,,N/A
food-tech,,,N/A
clean-tech,,,N/A
ai,,,N/A
and robotics sectors.,,,N/A
board observer at console connect. he served as board member at defense.net. he co-founded &amp,,,N/A
middle africa,,middle africa,Middle Africa
southern africa,,southern africa,Southern Africa
faroe islands,Faroe Islands,Faroe Islands,Faroe Islands
serves as chief executive officer at finlight. mr. jean-bernard tanqueray served as partner at adan corporate. he was an mba candidate at london business school. he serves as the chief investment officer at single private family office. mr. tanqueray holds an mba from london business school,,,N/A
ukraine,Ukraine,Ukraine,Ukraine
kunkel. mr. curzon is a certified public accountant accredited in business valuation. he is a certified valuation analyst and a certified merger &amp,,,N/A
serves as managing director at lead dog ventures. mr. john landry is an angel investor. he also serves as board member at wespire.,,,N/A
48,,,N/A
65,,,N/A
wisconsin,,wisconsin,Wisconsin
chief executive officer at cpap.com.,,,N/A
founded in 215,,,N/A
ayady is a private equity investment firm based in cairo,,cairo,Cairo
egypt. the firm focuses on investments in the fields of financial services,,egypt,Egypt
education,,,N/A
urban development,,,N/A
agriculture,,,N/A
and energy sectors.,,,N/A
alberta,,alberta,Alberta
manitoba,,manitoba,Manitoba
saskatchewan,,saskatchewan,Saskatchewan
yukon,United States,United States,United States
albania,Albania,Albania,Albania
croatia,Croatia,Croatia,Croatia
latvia,Latvia,Latvia,Latvia
lithuania,Lithuania,Lithuania,Lithuania
wales,,wales,Wales
ohio,,ohio,Ohio
russia,,russia,Russia
co operates as a digital bank. the company's segment includes banking &amp,,,N/A
qatar,Qatar,Qatar,Qatar
south muckleford gold project,,,N/A
serves as chief operating officer &amp,,,N/A
bulgaria,Bulgaria,Bulgaria,Bulgaria
north macedonia,North Macedonia,North Macedonia,North Macedonia
serbia,Serbia,Serbia,Serbia
retro diver collection,,,N/A
bahrain,Bahrain,Bahrain,Bahrain
western australia,,western australia,Western Australia
missouri,,missouri,Missouri
northern ireland,,northern ireland,Northern Ireland
ontario,United States,United States,United States
serves as board member at oqcam. dr. benjamin schrauwen is a co-founder &amp,,,N/A
executive director at true global ventures. mr. choo served as a partner at true global ventures. he serves as advisor at tune.fm. he co-founded &amp,,,N/A
armenia,Armenia,Armenia,Armenia
azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan
sudan,Sudan,Sudan,Sudan
barbados,Barbados,Barbados,Barbados
jamaica,Jamaica,Jamaica,Jamaica
trinidad and tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad And Tobago
bosnia and herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia And Herzegovina
montenegro,Montenegro,Montenegro,Montenegro
iraq,Iraq,Iraq,Iraq
kuwait,Kuwait,Kuwait,Kuwait
oman,Oman,Oman,Oman
antibiotic drugs,,,N/A
non-ferrous metallurgy,,,N/A
served as chief executive officer &amp,,,N/A
maine,,,N/A
new hampshire,,new hampshire,New Hampshire
rhode island,,rhode island,Rhode Island
sri lanka,Sri Lanka,Sri Lanka,Sri Lanka
wealth advisor at morgan stanley. he s an angel investor.,,morgan stanley,Morgan Stanley
chairman of the board at venture securities. he serves as chairman at add health media. he serves as a board member of curus. he served as business advisor at findout diagnostic. he served as board member and commissioner at wehunt.,,wehunt,Wehunt
victoria,United States,United States,United States
vermont,,vermont,Vermont
alabama,,alabama,Alabama
mississippi,,mississippi,Mississippi
virgin islands,,virgin islands,Virgin Islands
serves as managing partner at hack vc. mr. roman serves as managing partner at hacklegacy. he co-founded enterprise security syndicate. he serves as advisor at lodestar ventures. he also serves as an advisor at boxc. he served as executive-in-residence at crosslink capital. he served as co-chief executive officer at the middleware company. he co-founded and served as chief executive officer &amp,,hacklegacy,Hacklegacy
kansas,,kansas,Kansas
nebraska,,nebraska,Nebraska
tunisia,Tunisia,Tunisia,Tunisia
gibraltar,Gibraltar,Gibraltar,Gibraltar
belarus,Belarus,Belarus,Belarus
kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan
tajikistan,Tajikistan,Tajikistan,Tajikistan
uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan
moldova,,moldova,Moldova
anguilla,Anguilla,Anguilla,Anguilla
antigua,,antigua,Antigua
bahamas,Bahamas,Bahamas,Bahamas
montserrat,Montserrat,Montserrat,Montserrat
saint lucia,Saint Lucia,Saint Lucia,Saint Lucia
saint vincent,,saint vincent,Saint Vincent
sandwich islands,,sandwich islands,Sandwich Islands
turks and caicos,,turks and caicos,Turks And Caicos
myanmar,Myanmar,Myanmar,Myanmar
ivory coast,,ivory coast,Ivory Coast
morocco,Morocco,Morocco,Morocco
senegal,Senegal,Senegal,Senegal
lebanon,Lebanon,Lebanon,Lebanon
minnesota,,minnesota,Minnesota
angola,Angola,Angola,Angola
congo,Congo,Congo,Congo
lesotho,Lesotho,Lesotho,Lesotho
madagascar,Madagascar,Madagascar,Madagascar
seychelles,Seychelles,Seychelles,Seychelles
is an investor of kohlmann. he is an angel investor. dr. kohlmann served as a venture partner &amp,,,N/A
serves as chief executive officer at vertex (lithuania). he co-founded birdchain. he serves as chief executive officer &amp,,vertex (lithuania),Vertex (Lithuania)
mt dimer,,mt dimer,Mt Dimer
drones and systems and structure and disposals. it generates maximum revenue from the drones and systems segment.,,,N/A
curacao,,curacao,Curacao
iran,,iran,Iran
palestine,United States,United States,United States
nigeria,Nigeria,Nigeria,Nigeria
cambodia,Cambodia,Cambodia,Cambodia
nepal,Nepal,Nepal,Nepal
technology solutions and customized software development. its product includes the cryptoweb trader platform,,,N/A
brunei,,brunei,Brunei
laos,,laos,Laos
hyundai engineering &amp; construction co works in the construction industry and has completed civil,,,N/A
building,,,N/A
plant and energy projects. it constructs buildings,,,N/A
structures and infrastructure primarily geared toward transportation,,,N/A
power stations,,,N/A
gas facilities and real estate. the company operates four business segments: building works,,,N/A
civil works,,,N/A
plant works/electrical works and other. procuring materials and delivering timely performance to develop large,,,N/A
complex structures are focuses of the business. the company has a strong sales presence in its home country of korea,,korea,Korea
but it derives the majority of its sales from international projects in asia,,asia,Asia
africa and other regions.,,africa and other regions.,Africa And Other Regions.
louisiana,,louisiana,Louisiana
maldives,Maldives,Maldives,Maldives
newfoundland and labrador,,newfoundland and labrador,Newfoundland And Labrador
queensland,,queensland,Queensland
value-added products and services,,,N/A
new brunswick,United States,United States,United States
nova scotia,,nova scotia,Nova Scotia
north dakota,,north dakota,North Dakota
south dakota,,south dakota,South Dakota
ghana,Ghana,Ghana,Ghana
guam,Guam,Guam,Guam
flexible packaging and uncoated fine paper. it generates maximum revenue from the flexible packaging segment. the flexible packaging segment includes kraft paper,,,N/A
riot control simulator,,riot control simulator,Riot Control Simulator
iserhoff,,iserhoff,Iserhoff
cyprus,Cyprus,Cyprus,Cyprus
kosovo,,kosovo,Kosovo
malta,Malta,Malta,Malta
aruba,Aruba,Aruba,Aruba
british virgin islands,,british virgin islands,British Virgin Islands
cayman islands,Cayman Islands,Cayman Islands,Cayman Islands
grenada,Grenada,Grenada,Grenada
saint kitts and nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts And Nevis
benin,Benin,Benin,Benin
burkina faso,Burkina Faso,Burkina Faso,Burkina Faso
cape verde,,,N/A
guinea,Guinea,Guinea,Guinea
guinea-bissau,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
liberia,Liberia,Liberia,Liberia
mali,Mali,Mali,Mali
mauritania,Mauritania,Mauritania,Mauritania
niger,Niger,Niger,Niger
sierra leone,Sierra Leone,Sierra Leone,Sierra Leone
the gambia,,the gambia,The Gambia
togo,Togo,Togo,Togo
western sahara,Western Sahara,Western Sahara,Western Sahara
friends. he served as a advisory board member at nextsociety. he is an angel investor. he served as advisory board member at nextsociety.,,,N/A
grow &amp; co is a private equity firm based in london,,london,London
united kingdom. the firm seeks to acquire small businesses within manufacturing,,united kingdom,United Kingdom
healthcare,,,N/A
or property sectors.,,,N/A
founded in 29,,,N/A
smu institute of innovation &amp; entrepreneurship is an accelerator based in singapore. the firm prefers to incubate early-stage businesses operating in the information technology and consumer products and services sectors.,,singapore,Singapore
algeria,Algeria,Algeria,Algeria
libya,Libya,Libya,Libya
technology co ltd is engaged in production and sales of in vitro diagnostic reagents and instruments. the company's products include fluorescence in situ hybridization (fish) series,,,N/A
capital markets,,,N/A
orthopedics and aids,,orthopedics and aids,Orthopedics And Aids
board member at hypersentience. mr. perry serves as investor &amp,,,N/A
customer care,,,N/A
gaza strip,,gaza strip,Gaza Strip
syria,,syria,Syria
west bank,,,N/A
yemen,Yemen,Yemen,Yemen
arkansas,,arkansas,Arkansas
eritrea,Eritrea,Eritrea,Eritrea
mayotte,Mayotte,Mayotte,Mayotte
reunion,,,N/A
anticipated endowment,,,N/A
hivers &amp; strivers is a venture capital firm based in great falls,,great falls,Great Falls
virginia. the firm is industry-agnostic and invest exclusively in companies founded by us military veterans,,virginia,Virginia
founded in 1986,,,N/A
1st &amp; main growth partners is a private equity firm based in chicago,,chicago,Chicago
illinois. the firm seeks to invest in financial services,,illinois,Illinois
mobile commerce,,,N/A
mortgage technology,,,N/A
and insurance technology sectors based in the united states region. this firm is a registered investment adviser (ria).,,the united states,The United States
founded in 211,,,N/A
hughes &amp; company is a private equity investment firm based in chicago,,chicago,Chicago
illinois. the firm seeks to make growth and buyout investments in lower middle-market healthcare software and tech-enabled service companies headquartered in north america. this firm is a registered investment adviser (ria).,,illinois,Illinois
guernsey,Guernsey,Guernsey,Guernsey
puerto rico,Puerto Rico,Puerto Rico,Puerto Rico
bermuda,Bermuda,Bermuda,Bermuda
akrotiri and dhekelia,,akrotiri and dhekelia,Akrotiri And Dhekelia
australian capital territory,,australian capital territory,Australian Capital Territory
new south wales,,new south wales,New South Wales
northern territory,,northern territory,Northern Territory
south australia,,south australia,South Australia
tasmania,,tasmania,Tasmania
for over two decades,,,N/A
the global community of angel investors,,,N/A
onde voc ter acesso a experincias exclusivas para nossos membros,,,N/A
nsw. were a dynamic,,,N/A
community,,,N/A
the firm has backed over 5+ companies changing how we work,,,N/A
experts,,,N/A
today's candidates are mobile. with mobile recruiting software from mobile talent,,,N/A
rendering,,,N/A
optimize employee and customer experiences,,,N/A
radian thermal products,,,N/A
dc,,,N/A
sharing,,,N/A
launch,,,N/A
cut,,,N/A
coolsculpting,,,N/A
time tracking,,,N/A
the band of angels is silicon valley's oldest angel investment group. we are an active group of 15 angel investors who are former and current high tech executives who are interested in investing their time and money into new,,,N/A
advisory and funding for early-stage,,,N/A
ipad,,,N/A
l catterton,,,N/A
empower your contract review with ai precision. instantly spot risks,,,N/A
railways,,,N/A
fusion hill focuses on the intersection between research,,,N/A
progress monitoring,,,N/A
venture capital,,,N/A
mid,,,N/A
resources,,,N/A
stocks,,,N/A
from all industries,,,N/A
communication,,,N/A
piper sandler companies (nyse: pipr) is a leading investment bank and institutional securities firm offering m&a advisory,,,N/A
events,,,N/A
moonshot,,,N/A
sendo uma rede de investidores anjo,,,N/A
see here is a baby robotics company making robots for play,,,N/A
the most amazing journey deserves seamless,,,N/A
coachable reps reach their true potential with expert,,,N/A
platforms,,,N/A
consultants & real estate developers to track schedule,,,N/A
plexxikon has earned a reputation as a leader in targeted drug discovery and translational,,,N/A
'data centre',,,N/A
the pasadena angels are southern californias most respected and connected group of accredited investors. we have the capital,,southern californias,Southern Californias
scales,,,N/A
we accelerate market-ready climate tech companies through bxv capital and bxv advisory. collaborate with our team of entrepreneurs,,,N/A
start-ups,,,N/A
fixed-income,,,N/A
bonku,,bonku,Bonku
new world angels provides seed funding and venture capital for qualified early stage,,,N/A
its like were kicked out of the party,,,N/A
notion,,,N/A
indonesia. as the 4th most populous country globally,,indonesia,Indonesia
industry and development stage,,,N/A
astir ventures is a leading investment firm looking for the next best business idea to nurture and guide to success.astir it solutions,,,N/A
our interests are in the areas of saas,,,N/A
empowers entrepreneurs,,,N/A
maintain information consistency,,,N/A
mentorship,,,N/A
mortgage,,,N/A
social media,,,N/A
decentralizing clinical trials,,,N/A
entertainment,,,N/A
install and integrate smart home systems to work with apple homekit,,,N/A
sustainable,,,N/A
train,,,N/A
to full digital enablement,,,N/A
aumente os resultados,,,N/A
premium digital assets,,,N/A
gurgaon,,,N/A
tamiami fund members,,,N/A
private equity,,,N/A
web development,,,N/A
knowledge and network they need to make saving the world their business.because if they win,,,N/A
increase sales,,,N/A
weve never worked for corporates. instead,,,N/A
tv productions,,,N/A
providers,,,N/A
bids,,,N/A
machines  caf,,,N/A
general. lewis investment is a trading name of lewis &amp,,,N/A
investment in equities and others.,,,N/A
enterprise energy efficiency management system,,,N/A
super carr,,,N/A
member of the supervisory board at orthyo. he also serves as an angel investor at łukasz parafianowicz. he co-founded &amp,,orthyo,Orthyo
technology corporates. the company is engaged in hosting and co-working facility services. it is founded in 216 and is headquartered in luxembourg.,,luxembourg,Luxembourg
blue heaven,,,N/A
bhutan,Bhutan,Bhutan,Bhutan
chief executive officer at automattic. he is the founder &amp,,,N/A
group corporate banking and global markets,,,N/A
american samoa,American Samoa,American Samoa,American Samoa
film exhibition and film rights licensing and sub-licensing,,,N/A
managing member at caerus investment advisors. mr. cheung is an angel investor. he is the founder and serves as managing principal at caerus investment advisors. he served as an operating advisor at dugan katragadda.,,dugan katragadda.,Dugan Katragadda.
founded in 221,,,N/A
milk &amp; honey ventures is a venture capital investment firm headquartered in israel. the firm seeks to invest in companies operating in the food technology,,Israel,Israel
agricultural,,,N/A
and sustainable protein technologies sector from israel.,,Israel,Israel
body care and mineral fusion and sells its all-natural product line at select retailers such as whole foods markets.,,,N/A
arranges financing options for customers through financial services partners,,,N/A
san marino,San Marino,San Marino,San Marino
founded in 1918,,,N/A
neudi &amp; co. is a growth and expansion firm based in gothenburg,,gothenburg,Gothenburg
sweden. the firm focuses on real estate,,sweden,Sweden
finance,,,N/A
commerce,,,N/A
industrial and technology sectors.,,,N/A
online trading,,,N/A
founded in 214,,,N/A
bdg &amp; partners is a private equity firm that aims to create value by investing in companies where its capital,,,N/A
strategic vision,,,N/A
global relationships and operational experience can contribute to their growth in local and international markets.,,,N/A
founded in 216,,,N/A
7gc &amp; co is a boutique venture capital investment firm based in luxembourg,,luxembourg,Luxembourg
luxembourg. the firm invests in early growth-stage internet businesses across the united states and europe.,,united states and europe.,United States And Europe.
mobile services africa,,Africa,Africa
afghanistan,Afghanistan,Afghanistan,Afghanistan
british indian ocean territory,British Indian Ocean Territory,British Indian Ocean Territory,British Indian Ocean Territory
burundi,Burundi,Burundi,Burundi
cameroon,Cameroon,Cameroon,Cameroon
turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan
fraser south nickel copper,,,N/A
the west coast consortium for technology &amp; innovation in pediatrics is an accelerator based in chicago,,Chicago,Chicago
illinois. the firm provides grants to companies operating in pediatric medical devices or technology.,,Illinois ,Illinois
chief growth officer at gaia design.,,,N/A
founded in 218,,,N/A
e&amp;venture partners is a venture capital firm headquartered in seoul,,Seoul,Seoul
south korea. the firm invests in startups in the biotechnology and information technology sectors based in south korea.,,South Korea,South Korea
serves as chief executive officer at enuygun. mr. erol caglar is an angel investor. he co-founded and served as chief executive officer at cember.net. he has an mba in business administration from bogazici university.,,enuygun,Enuygun
mortgage finance,,,N/A
centre for research &amp; innovation in the bio-economy (cribe) is an accelerator/incubator based in thunder bay,,thunder bay,Thunder Bay
canada. the firm seeks to provide support,,Canada,Canada
mentorship and funding to ontario-based companies operating in the forest-based sectors.,,,N/A
Falkland Islands,,Falkland Islands,Falkland Islands
founded in 1992,,,N/A
chartwell investments entrepreneur &amp; founder capital is a private equity investment firm based in new york,,new york,New York
new york. the firm prefers to invest in companies operating in the food,,New York,New York
retail,,,N/A
distribution,,,N/A
business services,,,N/A
consumer products and services,,,N/A
and manufacturing sectors based in the united states and canada.,,the united states and canada,The United States And Canada
project management services,,,N/A
china science &amp; merchants investment management group is a private investment firm based in beijing,,beijing,Beijing
china. the firm seeks to invest in consumer products,,,N/A
life science,,,N/A
pharmaceutical,,,N/A
medical equipment,,,N/A
farming,,,N/A
biotechnology and manufacturing sectors.,,,N/A
media,,,N/A
swaziland,,swaziland,Swaziland
mt nakru,,,N/A
long and short-term financing services,,,N/A
gabon,Gabon,Gabon,Gabon
health,,,N/A
territories,,,N/A
chad,Chad,Chad,Chad
serves as chairman at hivello. he is a co-founder &amp,,,N/A
serves as chairman at red swan ventures. he is a co-founder &amp,,,N/A
glass bottles,,,N/A
mining and industrial,,,N/A
